========== 鬼谷八荒 造物属性字典 02/02/2026 09:56:13 ==========
此文件包含 AI 造物所需的所有属性 Key、ID 及含义。

>>> [1. 气运与角色属性字典 (RoleEffect Keys)]
说明：用于 'ConfRoleEffectItem.value' 字段。格式通常为 key_参数1_参数2
---------------------------------------------------------------
Key: intoDungeon     | 出现次数: 348  | 样本: intoDungeon_24172
211    | effect_value_desc211           | 突进距离：{0}
212    | effect_value_desc212           | 充能层数：{0}
213    | effect_value_desc213           | 破甲层数：{0}
214    | effect_value_desc214           | 消耗破势提升的突进距离：{0}
215    | effect_value_desc215           | 需求流血层数：{0}
216    | effect_value_desc216           | 每层剑斩增加持续时间：{0}秒
217    | effect_value_desc217           | 身法冷却减少：{0}秒
218    | effect_value_desc218           | 斩杀上限提升：{0}%
219    | effect_value_desc219           | 晕眩概率：{0}%
220    | effect_value_desc220           | 晕眩时间：{0}秒
221    | effect_value_desc221           | 叠加护盾值：{0}
222    | effect_value_desc222           | 护盾值上限：{0}
223    | effect_value_desc223           | 叠加铜皮概率：{0}%
224    | effect_value_desc224           | 消耗当前体力：{0}%
225    | effect_value_desc225           | 每秒回复体力：{0}%
226    | effect_value_desc226           | 每层剑斩提升范围：{0}
227    | effect_value_desc227           | 每层剑斩提升伤害：{0}%
228    | effect_value_desc228           | 每层额外伤害：{0}
229    | effect_value_desc229           | 固定伤害：{0}
230    | effect_value_desc230           | 伤害威力奖励：{0}%
231    | effect_value_desc231           | 每次下降威力：{0}%
232    | effect_value_desc232           | 损失灵力：{0}
233    | effect_value_desc233           | 施加封脉概率：{0}%
234    | effect_value_desc234           | 额外伤害及灵力损失：{0}%
235    | effect_value_desc235           | 每层开脉增加指影：{0}
236    | effect_value_desc236           | 每层开脉提升范围：{0}
237    | effect_value_desc237           | 每层开脉提升伤害：{0}%
238    | effect_value_desc238           | 每层开脉造成灵力损失：{0}
239    | effect_value_desc239           | 每层灵虚造成伤害：{0}
240    | effect_value_desc240           | 每秒伤害威力：{0}
241    | effect_value_desc241           | 冷却时间减少：{0}%
242    | effect_value_desc242           | 降低百分比：{0}%
243    | effect_value_desc243           | 提升移动速度：{0}%
244    | effect_value_desc244           | 每层燃魂提升的概率：{0}%
245    | effect_value_desc245           | 移动速度降低：{0}%
246    | effect_value_desc246           | 攻击速度降低：{0}%
247    | effect_value_desc247           | 回复间隔：{0}秒
248    | effect_value_desc248           | 回复灵力值：{0}
249    | effect_value_desc249           | 技能消耗提升：{0}%
250    | effect_value_desc250           | 技能威力提升：{0}%
251    | effect_value_desc251           | 蓄力时间降低：{0}%
252    | effect_value_desc252           | 冻结概率：{0}%
253    | effect_value_desc253           | 每层灵涌提升持续时间：{0}秒
254    | effect_value_desc254           | 吸取灵力比例：{0}%
255    | effect_value_desc255           | 麻痹概率：{0}%
256    | effect_value_desc256           | 麻痹时间：{0}秒
257    | effect_value_desc257           | 雷电打击间隔：{0}秒
258    | effect_value_desc258           | 每层最低伤害：{0}
259    | effect_value_desc259           | 每层最高伤害：{0}
260    | effect_value_desc260           | 秒杀概率：{0}%
261    | effect_value_desc261           | 对自身伤害比例：{0}%
262    | effect_value_desc262           | 召唤雷印概率：{0}%
263    | effect_value_desc263           | 每层减速概率：{0}%
264    | effect_value_desc264           | 移动速度降低：{0}%
265    | effect_value_desc265           | 减速持续时间：{0}秒
266    | effect_value_desc266           | 每层概率：{0}%
267    | effect_value_desc267           | 旋风威力：{0}
268    | effect_value_desc268           | 每层提升旋风时间：{0}秒
269    | effect_value_desc269           | 每层提升持续时间：{0}秒
270    | effect_value_desc270           | 每层提升风瘴射程：{0}
271    | effect_value_desc271           | 每层概率提升：{0}%
272    | effect_value_desc272           | 减免伤害概率：{0}%
273    | effect_value_desc273           | 每层可减免伤害：{0}%
274    | effect_value_desc274           | 每层减免伤害上限：{0}
275    | effect_value_desc275           | 每层增加攻击：{0}%
276    | effect_value_desc276           | 每层增加体力：{0}%
277    | effect_value_desc277           | 每层提升伤害：{0}%
278    | effect_value_desc278           | 移动速度降低：{0}%
279    | effect_value_desc279           | 减速持续时间：{0}秒
280    | effect_value_desc280           | 伤害间隔：{0}秒
281    | effect_value_desc281           | 伤害威力：{0}
282    | effect_value_desc282           | 移动速度降低：{0}%
283    | effect_value_desc283           | 召唤概率：{0}%
284    | effect_value_desc284           | 伤害提升：{0}%
285    | effect_value_desc285           | 射程提升：{0}%
286    | effect_value_desc286           | 额外伤害：{0}%
287    | effect_value_desc287           | 毒刺伤害提升：{0}%
288    | effect_value_desc288           | 攻击间隔降低：{0}%
289    | effect_value_desc289           | 每点攻击每秒消化的体力：{0}
290    | effect_value_desc290           | 腐蚀伤害间隔：{0}秒
291    | effect_value_desc291           | 毒沼移速降低：{0}%
292    | effect_value_desc292           | 缠绕概率：{0}%
293    | effect_value_desc293           | 每点护盾造成伤害：{0}
294    | effect_value_desc294           | 每层提升伤害：{0}%
295    | effect_value_desc295           | 被动提升小花妖体力：{0}
296    | effect_value_desc296           | 被动提升小花妖攻击：{0}
297    | effect_value_desc297           | 产生花种概率：{0}%
298    | effect_value_desc298           | 每层概率：{0}%
299    | effect_value_desc299           | 叠加概率：{0}%


>>> [3. 技能参数字段表 (SkillFieldDesc)]
说明：用于定义技能具体效果的字段名。
---------------------------------------------------------------
Field: phycicalDmg          | 描述: 主弹道威力
Field: phycicalDmg          | 描述: 子弹道威力
Field: phycicalDmg          | 描述: 弹道威力
Field: magicDmg             | 描述: 主弹道威力
Field: magicDmg             | 描述: 子弹道威力
Field: magicDmg             | 描述: 弹道威力
Field: chargeValue          | 描述: 命中增加怒气
Field: shotCD               | 描述: 技能冷却
Field: capacity             | 描述: 子弹道波数
Field: range                | 描述: 主弹道射程
Field: range                | 描述: 子弹道射程
Field: range                | 描述: 弹道射程
Field: bulletNum            | 描述: 主弹道数量
Field: bulletNum            | 描述: 子弹道数量
Field: bulletNum            | 描述: 弹道数量
Field: radius               | 描述: 主弹道半径
Field: radius               | 描述: 子弹道半径
Field: radius               | 描述: 弹道半径
Field: plies                | 描述: 持续时间
Field: duration             | 描述: 间隔时间
Field: duration             | 描述: 持续时间
Field: range                | 描述: 闪现距离
Field: range                | 描述: 冲刺距离
Field: duration             | 描述: 遁地持续时间
Field: duration             | 描述: 隐身持续时间
Field: size                 | 描述: 阵法半径
Field: duration             | 描述: 阵法持续时间
Field: number               | 描述: 召唤数量
Field: duration             | 描述: 召唤物持续时间


>>> [4. 丹药与特殊Buff ID表 (BattleBuff / Effect)]
说明：丹药通常引用这些 ID 来产生持续性效果。
---------------------------------------------------------------
ID: 4100001  | Desc: hftl:200 | Name: 小体力丹
ID: 4100002  | Desc: hftl:500 | Name: 大体力丹
ID: 4100003  | Desc: hfll:200 | Name: 小灵力丹
ID: 4100004  | Desc: hfll:500 | Name: 大灵力丹
ID: 4100005  | Desc: tsgj:200 | Name: 攻击丹
ID: 4100006  | Desc: tsfy:200 | Name: 防御丹
ID: 1011161  | Desc: tsgj:&1011161_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011162  | Desc: tsgj:&1011162_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011163  | Desc: tsgj:&1011163_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011164  | Desc: tsgj:&1011164_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011165  | Desc: tsgj:&1011165_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011166  | Desc: tsgj:&1011166_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011171  | Desc: tsgj:&1011171_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011172  | Desc: tsgj:&1011172_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011173  | Desc: tsgj:&1011173_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011174  | Desc: tsgj:&1011174_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011175  | Desc: tsgj:&1011175_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011176  | Desc: tsgj:&1011176_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011181  | Desc: tsgj:&1011181_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011182  | Desc: tsgj:&1011182_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011183  | Desc: tsgj:&1011183_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011184  | Desc: tsgj:&1011184_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011185  | Desc: tsgj:&1011185_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011186  | Desc: tsgj:&1011186_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011191  | Desc: tsgj:&1011191_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011192  | Desc: tsgj:&1011192_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011193  | Desc: tsgj:&1011193_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011194  | Desc: tsgj:&1011194_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011195  | Desc: tsgj:&1011195_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011196  | Desc: tsgj:&1011196_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011201  | Desc: tsgj:&1011201_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011202  | Desc: tsgj:&1011202_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011203  | Desc: tsgj:&1011203_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011204  | Desc: tsgj:&1011204_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011205  | Desc: tsgj:&1011205_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011206  | Desc: tsgj:&1011206_tsgj|cxsj:&1011161_cxsj | Name: 
ID: 1011211  | Desc: tsfy:&1011211_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011212  | Desc: tsfy:&1011212_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011213  | Desc: tsfy:&1011213_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011214  | Desc: tsfy:&1011214_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011215  | Desc: tsfy:&1011215_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011216  | Desc: tsfy:&1011216_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011221  | Desc: tsfy:&1011221_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011222  | Desc: tsfy:&1011222_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011223  | Desc: tsfy:&1011223_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011224  | Desc: tsfy:&1011224_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011225  | Desc: tsfy:&1011225_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011226  | Desc: tsfy:&1011226_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011231  | Desc: tsfy:&1011231_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011232  | Desc: tsfy:&1011232_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011233  | Desc: tsfy:&1011233_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011234  | Desc: tsfy:&1011234_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011235  | Desc: tsfy:&1011235_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011236  | Desc: tsfy:&1011236_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011241  | Desc: tsfy:&1011241_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011242  | Desc: tsfy:&1011242_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011243  | Desc: tsfy:&1011243_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011244  | Desc: tsfy:&1011244_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011245  | Desc: tsfy:&1011245_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011246  | Desc: tsfy:&1011246_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011251  | Desc: tsfy:&1011251_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011252  | Desc: tsfy:&1011252_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011253  | Desc: tsfy:&1011253_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011254  | Desc: tsfy:&1011254_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011255  | Desc: tsfy:&1011255_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011256  | Desc: tsfy:&1011256_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011261  | Desc: tsfy:&1011261_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011262  | Desc: tsfy:&1011262_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011263  | Desc: tsfy:&1011263_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011264  | Desc: tsfy:&1011264_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011265  | Desc: tsfy:&1011265_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1011266  | Desc: tsfy:&1011266_tsfy|cxsj:&1011161_cxsj | Name: 
ID: 1041011  | Desc: 0 | Name: 
ID: 1041012  | Desc: 0 | Name: 
ID: 1041013  | Desc: 0 | Name: 
ID: 1041014  | Desc: 0 | Name: 
ID: 1041015  | Desc: 0 | Name: 
ID: 1041016  | Desc: 0 | Name: 
ID: 1041021  | Desc: 0 | Name: 
ID: 1041022  | Desc: 0 | Name: 
ID: 1041023  | Desc: 0 | Name: 
ID: 1041024  | Desc: 0 | Name: 
ID: 1041025  | Desc: 0 | Name: 
ID: 1041026  | Desc: 0 | Name: 
ID: 1041031  | Desc: 0 | Name: 
ID: 1041032  | Desc: 0 | Name: 
ID: 1041033  | Desc: 0 | Name: 
ID: 1041034  | Desc: 0 | Name: 
ID: 1041035  | Desc: 0 | Name: 
ID: 1041036  | Desc: 0 | Name: 
ID: 1041041  | Desc: 0 | Name: 
ID: 1041042  | Desc: 0 | Name: 
ID: 1041043  | Desc: 0 | Name: 
ID: 1041044  | Desc: 0 | Name: 
ID: 1041045  | Desc: 0 | Name: 
ID: 1041046  | Desc: 0 | Name: 
ID: 1041047  | Desc: 0 | Name: 
ID: 1041048  | Desc: 0 | Name: 
ID: 1041049  | Desc: 0 | Name: 
ID: 1041050  | Desc: 0 | Name: 
ID: 1041051  | Desc: 0 | Name: 
ID: 1041052  | Desc: 0 | Name: 
ID: 1041053  | Desc: 0 | Name: 
ID: 1041054  | Desc: 0 | Name: 
ID: 1041055  | Desc: 0 | Name: 
ID: 1041056  | Desc: 0 | Name: 
ID: 1041057  | Desc: 0 | Name: 
ID: 1041058  | Desc: 0 | Name: 
ID: 1041059  | Desc: 0 | Name: 
ID: 1041060  | Desc: 0 | Name: 
ID: 1041061  | Desc: 0 | Name: 
ID: 1041062  | Desc: 0 | Name: 
ID: 1041063  | Desc: 0 | Name: 
ID: 1041064  | Desc: 0 | Name: 
ID: 1041065  | Desc: 0 | Name: 
ID: 1041066  | Desc: 0 | Name: 
ID: 1041067  | Desc: 0 | Name: 
ID: 1041068  | Desc: 0 | Name: 
ID: 1041069  | Desc: 0 | Name: 
ID: 1041070  | Desc: 0 | Name: 
ID: 1041071  | Desc: 0 | Name: 
ID: 1041072  | Desc: 0 | Name: 
ID: 1041073  | Desc: 0 | Name: 
ID: 1041074  | Desc: 0 | Name: 
ID: 1041075  | Desc: 0 | Name: 
ID: 1041076  | Desc: 0 | Name: 
ID: 1041077  | Desc: 0 | Name: 
ID: 1041078  | Desc: 0 | Name: 
ID: 1041079  | Desc: 0 | Name: 
ID: 1041080  | Desc: 0 | Name: 
ID: 1041081  | Desc: 0 | Name: 
ID: 1041082  | Desc: 0 | Name: 
ID: 1041083  | Desc: 0 | Name: 
ID: 1041084  | Desc: 0 | Name: 
ID: 1041085  | Desc: 0 | Name: 
ID: 1041086  | Desc: 0 | Name: 
ID: 1041087  | Desc: 0 | Name: 
ID: 1041088  | Desc: 0 | Name: 
ID: 1041089  | Desc: 0 | Name: 
ID: 1041090  | Desc: 0 | Name: 
ID: 1041091  | Desc: 0 | Name: 
ID: 1041092  | Desc: 0 | Name: 
ID: 1041093  | Desc: 0 | Name: 
ID: 1041094  | Desc: 0 | Name: 
ID: 1041095  | Desc: 0 | Name: 
ID: 1041096  | Desc: 0 | Name: 
ID: 1041097  | Desc: 0 | Name: 
ID: 1041098  | Desc: 0 | Name: 
ID: 1041099  | Desc: 0 | Name: 
ID: 1041100  | Desc: 0 | Name: 
ID: 1041101  | Desc: 0 | Name: 
ID: 1041102  | Desc: 0 | Name: 
ID: 1041103  | Desc: 0 | Name: 
ID: 1041104  | Desc: 0 | Name: 
ID: 1041105  | Desc: 0 | Name: 
ID: 1041106  | Desc: 0 | Name: 
ID: 1041107  | Desc: 0 | Name: 
ID: 1041108  | Desc: 0 | Name: 
ID: 1041109  | Desc: 0 | Name: 
ID: 1041110  | Desc: 0 | Name: 
ID: 1041111  | Desc: 0 | Name: 
ID: 1041112  | Desc: 0 | Name: 
ID: 1041113  | Desc: 0 | Name: 
ID: 1041114  | Desc: 0 | Name: 
ID: 1041115  | Desc: 0 | Name: 
ID: 1041116  | Desc: 0 | Name: 
ID: 1041117  | Desc: 0 | Name: 
ID: 1041118  | Desc: 0 | Name: 
ID: 1041119  | Desc: 0 | Name: 
ID: 1041120  | Desc: 0 | Name: 
ID: 1041121  | Desc: 0 | Name: 
ID: 1041122  | Desc: 0 | Name: 
ID: 1041123  | Desc: 0 | Name: 
ID: 1041124  | Desc: 0 | Name: 
ID: 1041125  | Desc: 0 | Name: 
ID: 1041126  | Desc: 0 | Name: 
ID: 1041127  | Desc: 0 | Name: 
ID: 1041128  | Desc: 0 | Name: 
ID: 1041129  | Desc: 0 | Name: 
ID: 1041130  | Desc: 0 | Name: 
ID: 1041131  | Desc: 0 | Name: 
ID: 1041132  | Desc: 0 | Name: 
ID: 1041133  | Desc: 0 | Name: 
ID: 1041134  | Desc: 0 | Name: 
ID: 1041135  | Desc: 0 | Name: 
ID: 1041136  | Desc: 0 | Name: 
ID: 1041137  | Desc: 0 | Name: 
ID: 1041138  | Desc: 0 | Name: 
ID: 1041139  | Desc: 0 | Name: 
ID: 1041140  | Desc: 0 | Name: 
ID: 1041141  | Desc: 0 | Name: 
ID: 1041142  | Desc: 0 | Name: 
ID: 1041143  | Desc: 0 | Name: 
ID: 1041144  | Desc: 0 | Name: 
ID: 1041145  | Desc: 0 | Name: 
ID: 1041146  | Desc: 0 | Name: 
ID: 1041147  | Desc: 0 | Name: 
ID: 1041148  | Desc: 0 | Name: 
ID: 1041149  | Desc: 0 | Name: 
ID: 1041150  | Desc: 0 | Name: 
